number,atomic_weight,element,symbol,mp,bp,density,earth_crust,discovered,egroup,ionization
1,1.0079,Hydrogen,H,-259.0,-253.0,0.09,0.14,1776,1,13.5984
2,4.0026,Helium,He,-272.0,-269.0,0.0,0.0,1895,18,24.5874
3,6.941,Lithium,Li,180.0,1347.0,0.53,0.0,1817,1,5.3917
4,9.0122,Beryllium,Be,1278.0,2970.0,1.85,0.0,1797,2,9.3227
5,10.811,Boron,B,2300.0,2550.0,2.34,0.0,1808,13,8.298
6,12.0107,Carbon,C,3500.0,4827.0,2.26,0.094,0,14,11.2603
7,14.0067,Nitrogen,N,-210.0,-196.0,1.25,0.0,1772,15,14.5341
8,15.9994,Oxygen,O,-218.0,-183.0,1.43,46.71,1774,16,13.6181
9,18.9984,Fluorine,F,-220.0,-188.0,1.7,0.029,1886,17,17.4228
10,20.1797,Neon,Ne,-249.0,-246.0,0.0,0.0,1898,18,21.5645
11,22.9897,Sodium,Na,98.0,883.0,0.97,2.75,1807,1,5.1391
12,24.305,Magnesium,Mg,639.0,1090.0,1.74,2.08,1755,2,7.6462
13,26.9815,Aluminum,Al,660.0,2467.0,2.7,8.07,1825,13,5.9858
14,28.0855,Silicon,Si,1410.0,2355.0,2.33,27.69,1824,14,8.1517
15,30.9738,Phosphorus,P,44.0,280.0,1.82,0.13,1669,15,10.4867
16,32.065,Sulfur,S,113.0,445.0,2.07,0.052,0,16,10.36
17,35.453,Chlorine,Cl,-101.0,-35.0,3.21,0.045,1774,17,12.9676
18,39.948,Argon,Ar,-189.0,-186.0,0.0,0.0,1894,18,15.7596
19,39.0983,Potassium,K,64.0,774.0,0.86,2.58,1807,1,4.3407
20,40.078,Calcium,Ca,839.0,1484.0,1.55,3.65,1808,2,6.1132
21,44.9559,Scandium,Sc,1539.0,2832.0,2.99,0.0,1879,3,6.5615
22,47.867,Titanium,Ti,1660.0,3287.0,4.54,0.62,1791,4,6.8281
23,50.9415,Vanadium,V,1890.0,3380.0,6.11,0.0,1830,5,6.7462
24,51.9961,Chromium,Cr,1857.0,2672.0,7.19,0.035,1797,6,6.7665
25,54.938,Manganese,Mn,1245.0,1962.0,7.43,0.09,1774,7,7.434
26,55.845,Iron,Fe,1535.0,2750.0,7.87,5.05,0,8,7.9024
27,58.9332,Cobalt,Co,1495.0,2870.0,8.9,0.0,1735,9,7.881
28,58.6934,Nickel,Ni,1453.0,2732.0,8.9,0.019,1751,10,7.6398
29,63.546,Copper,Cu,1083.0,2567.0,8.96,0.0,0,11,7.7264
30,65.39,Zinc,Zn,420.0,907.0,7.13,0.0,0,12,9.3942
31,69.723,Gallium,Ga,30.0,2403.0,5.91,0.0,1875,13,5.9993
32,72.64,Germanium,Ge,937.0,2830.0,5.32,0.0,1886,14,7.8994
33,74.9216,Arsenic,As,81.0,613.0,5.72,0.0,0,15,9.7886
